#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
41,Northwestern,34,40.6,73.3,26.2,57.6,.455,8.2,21.0,.390,12.7,16.9,.752,7.5,22.0,29.5,15.6,7.0,3.1,8.4,17.6
42,Delaware State,34,40.6,70.6,25.0,57.7,.434,4.6,14.5,.320,15.9,22.5,.706,10.1,22.2,32.3,12.1,8.4,1.9,14.0,16.9
43,UNC Wilmington,31,40.6,79.4,27.8,60.4,.461,8.3,23.9,.348,15.4,20.3,.760,9.5,22.4,31.9,12.2,6.5,2.4,8.1,17.0
44,Northern Kentucky,33,40.6,74.8,26.7,58.6,.456,6.3,19.9,.319,15.1,20.9,.719,8.7,22.4,31.1,13.8,8.6,2.6,12.1,16.5
45,Arizona,35,40.6,87.6,31.4,64.4,.488,8.0,21.4,.373,16.8,23.4,.718,11.8,27.9,39.7,18.6,8.3,3.7,11.8,16.4
46,Davidson,32,40.6,70.1,24.5,56.8,.431,7.3,23.4,.314,13.8,18.8,.733,8.1,24.4,32.5,12.6,6.5,3.5,9.9,16.0
47,Lafayette,32,40.6,62.8,23.3,57.0,.408,7.1,22.8,.312,9.2,13.7,.674,7.1,23.0,30.1,13.2,6.6,4.3,11.0,16.2
48,South Dakota,32,40.6,76.1,27.3,59.9,.457,7.8,20.9,.375,13.5,18.2,.743,8.9,25.1,34.1,12.2,3.6,1.8,12.6,16.0
49,North Alabama,32,40.6,76.5,26.8,60.3,.444,7.7,21.2,.362,15.2,19.8,.768,8.5,23.9,32.5,11.2,5.3,3.2,9.8,18.4
50,UMKC,32,40.6,71.9,25.4,59.5,.427,8.4,25.3,.332,12.7,17.8,.713,10.0,23.5,33.4,12.8,6.0,3.8,11.1,19.5
51,Robert Morris,32,40.6,72.7,26.0,60.2,.432,8.5,25.4,.336,12.1,16.9,.717,11.1,22.1,33.2,13.5,4.9,2.9,13.5,17.6
52,San Diego State,36,40.6,74.7,25.9,58.6,.442,7.1,22.2,.318,15.8,21.5,.736,10.1,24.8,34.8,13.1,7.4,4.0,10.6,17.5
53,Lamar,33,40.6,77.8,27.6,61.4,.450,7.5,21.7,.346,15.0,20.6,.730,11.2,24.1,35.2,16.5,7.1,3.7,12.5,18.6
54,Yale,33,40.6,74.7,27.8,59.7,.467,7.3,20.8,.351,11.7,16.5,.707,8.5,25.0,33.5,15.0,6.2,3.2,9.1,15.1
55,Furman,33,40.6,79.5,27.6,62.2,.444,9.7,29.9,.324,14.6,20.0,.728,9.6,25.3,34.9,16.2,7.1,2.9,11.5,16.0
56,Montana State,35,40.6,75.3,26.9,57.5,.468,9.1,24.7,.370,12.4,17.0,.728,5.9,22.5,28.4,13.2,8.3,2.4,11.0,18.5
57,Northwestern State,32,40.6,70.5,25.3,58.5,.432,6.4,20.1,.317,13.7,20.7,.659,10.1,21.6,31.7,11.5,7.0,3.3,12.6,18.7
58,Alabama State,32,40.6,68.6,24.1,65.2,.370,7.0,24.8,.281,13.4,18.5,.723,11.9,23.8,35.7,10.8,8.7,3.8,10.9,19.0
59,High Point,34,40.6,84.5,27.8,59.9,.464,8.6,24.7,.348,20.3,26.0,.781,11.5,25.4,37.0,12.1,5.2,3.2,10.6,18.1
